time,player,wood,food,gold,stone,vils,mils
2300,TheHeleeee,24,26,19,22,0,0
2300,TheBooyash,25,27,20,20,0,0
2300,Mr.Gold,23,23,25,17,0,0
2400,TheMustache,26,28,22,20,0,0
2400,TheHeleeee,25,27,20,23,0,0
2400,TheBooyash,26,28,21,21,0,0
2400,Mr.Gold,24,24,26,18,0,0
2500,TheMustache,27,30,23,21,0,0
2500,TheHeleeee,26,28,21,24,0,0
2500,TheBooyash,28,29,22,22,0,0
2500,Mr.Gold,25,25,27,18,0,0
2600,TheMustache,28,31,24,22,0,0
2600,TheHeleeee,27,29,22,25,0,0
2600,TheBooyash,29,30,23,23,0,0
2600,Mr.Gold,26,26,28,19,0,0
2700,TheMustache,29,32,25,22,0,0
2700,TheHeleeee,28,31,22,26,0,0
2700,TheBooyash,30,31,24,24,0,0
2700,Mr.Gold,27,27,29,20,0,0
2800,TheMustache,30,33,26,23,0,0
2800,TheHeleeee,29,32,23,27,0,0
2800,TheBooyash,31,33,25,24,0,0
2800,Mr.Gold,28,28,30,21,0,0
2900,TheMustache,31,34,27,24,0,0
2900,TheHeleeee,30,33,24,28,0,0
2900,TheBooyash,32,34,26,25,0,0
2900,Mr.Gold,29,29,31,21,0,0
3000,TheMustache,33,36,28,25,0,0
3000,TheHeleeee,31,34,25,29,0,0
3000,TheBooyash,33,35,27,26,0,0
3000,Mr.Gold,30,30,33,22,0,0
3100,TheMustache,34,37,29,26,0,0
3100,TheHeleeee,32,35,26,30,0,0
3100,TheBooyash,34,36,27,27,0,0
3100,Mr.Gold,31,31,34,23,0,0
3200,TheMustache,35,38,30,27,0,0
3200,TheHeleeee,33,36,27,31,0,0
3200,TheBooyash,35,37,28,28,0,0
3200,Mr.Gold,32,32,35,24,0,0
3300,TheMustache,36,39,31,28,0,0
3300,TheHeleeee,34,37,28,32,0,0
3300,TheBooyash,36,38,29,29,0,0
3300,Mr.Gold,33,33,36,24,0,0
3400,TheMustache,37,40,32,28,0,0
3400,TheHeleeee,35,39,28,32,0,0
3400,TheBooyash,38,40,30,30,0,0
3400,Mr.Gold,35,34,37,25,0,0
3500,TheMustache,38,42,33,29,0,0
3500,TheHeleeee,36,40,29,33,0,0
3500,TheBooyash,39,41,31,31,0,0
3500,Mr.Gold,36,35,38,26,0,0
3600,TheMustache,39,43,34,30,0,0
3600,TheHeleeee,37,41,30,34,0,0
3600,TheBooyash,40,42,32,32,0,0
3600,Mr.Gold,37,36,39,27,0,0
3700,TheMustache,40,44,35,31,0,0
3700,TheHeleeee,38,42,31,35,0,0
3700,TheBooyash,41,43,33,32,0,0
3700,Mr.Gold,38,37,40,27,0,0
3800,TheMustache,41,45,36,32,0,0
3800,TheHeleeee,39,43,32,36,0,0
3800,TheBooyash,42,44,34,33,0,0
3800,Mr.Gold,39,38,41,28,0,0
3900,TheMustache,42,46,37,33,0,0
3900,TheHeleeee,40,44,33,37,0,0
3900,TheBooyash,43,46,35,34,0,0
3900,Mr.Gold,40,39,42,29,0,0
4000,TheMustache,44,48,38,34,0,0
4000,TheHeleeee,42,46,34,38,0,0
4000,TheBooyash,44,47,36,35,0,0
4000,Mr.Gold,41,40,44,30,0,0
4100,TheMustache,45,49,38,34,0,0
4100,TheHeleeee,43,47,34,39,0,0
4100,TheBooyash,45,48,36,36,0,0
4100,Mr.Gold,42,41,45,30,0,0
4200,TheMustache,46,50,39,35,0,0
4200,TheHeleeee,44,48,35,40,0,0
4200,TheBooyash,47,49,37,37,0,0
4200,Mr.Gold,43,42,46,31,0,0
4300,TheMustache,47,51,40,36,0,0
4300,TheHeleeee,45,49,36,41,0,0
4300,TheBooyash,48,50,38,38,0,0
4300,Mr.Gold,44,43,47,32,0,0
4400,TheMustache,48,52,41,37,0,0
4400,TheHeleeee,46,50,37,42,0,0
4400,TheBooyash,49,51,39,39,0,0
4400,Mr.Gold,45,44,48,33,0,0
4500,TheMustache,49,54,42,38,0,0
4500,TheHeleeee,47,51,38,43,0,0
4500,TheBooyash,50,53,40,40,0,0
4500,Mr.Gold,46,45,49,33,0,0
4600,TheMustache,50,55,43,39,0,0
4600,TheHeleeee,48,52,39,44,0,0
4600,TheBooyash,51,54,41,40,0,0
4600,Mr.Gold,47,46,50,34,0,0
4700,TheMustache,51,56,44,39,0,0
4700,TheHeleeee,49,54,39,45,0,0
4700,TheBooyash,52,55,42,41,0,0
4700,Mr.Gold,48,47,51,35,0,0
4800,TheMustache,52,57,45,40,0,0
4800,TheHeleeee,50,55,40,46,0,0
4800,TheBooyash,53,56,43,42,0,0
4800,Mr.Gold,49,48,52,36,0,0
4900,TheMustache,53,58,46,41,0,0
4900,TheHeleeee,51,56,41,47,0,0
4900,TheBooyash,54,57,44,43,0,0
4900,Mr.Gold,50,49,53,36,0,0
5000,TheMustache,55,60,47,42,0,0
5000,TheHeleeee,52,57,42,48,0,0
5000,TheBooyash,56,59,45,44,0,0
5000,Mr.Gold,51,50,55,37,0,0
5100,TheMustache,56,61,48,43,0,0
5100,TheHeleeee,53,58,43,49,0,0
5100,TheBooyash,57,60,45,45,0,0
5100,Mr.Gold,52,51,56,38,0,0
5200,TheMustache,57,62,49,44,0,0
5200,TheHeleeee,54,59,44,50,0,0
5200,TheBooyash,58,61,46,46,0,0
5200,Mr.Gold,53,52,57,39,0,0
5300,TheMustache,58,63,50,45,0,0
5300,TheHeleeee,55,60,45,51,0,0
5300,TheBooyash,59,62,47,47,0,0
5300,Mr.Gold,54,53,58,39,0,0
5400,TheMustache,59,64,51,45,0,0
5400,TheHeleeee,56,62,45,52,0,0
5400,TheBooyash,60,63,48,48,0,0
5400,Mr.Gold,55,54,59,40,0,0
5500,TheMustache,60,66,52,46,0,0
5500,TheHeleeee,57,63,46,53,0,0
5500,TheBooyash,61,64,49,48,0,0
5500,Mr.Gold,56,55,60,41,0,0
5600,TheMustache,61,67,53,47,0,0
5600,TheHeleeee,58,64,47,54,0,0
5600,TheBooyash,62,66,50,49,0,0
5600,Mr.Gold,57,56,61,42,0,0
5700,TheMustache,62,68,54,48,0,0
5700,TheHeleeee,59,65,48,55,0,0
5700,TheBooyash,63,67,51,50,0,0
5700,Mr.Gold,58,57,62,42,0,0
5800,TheMustache,63,69,55,49,0,0
5800,TheHeleeee,60,66,49,56,0,0
5800,TheBooyash,64,68,52,51,0,0
5800,Mr.Gold,59,58,63,43,0,0
5900,TheMustache,64,70,56,50,0,0
5900,TheHeleeee,61,67,50,57,0,0
5900,TheBooyash,66,69,53,52,0,0
5900,Mr.Gold,60,59,64,44,0,0
6000,TheMustache,66,72,57,51,0,0
6000,TheHeleeee,63,68,51,58,0,0
6000,TheBooyash,67,70,54,53,0,0
6000,Mr.Gold,61,60,66,45,0,0
6100,TheMustache,67,73,57,51,0,0
6100,TheHeleeee,64,70,51,59,0,0
6100,TheBooyash,68,71,54,54,0,0
6100,Mr.Gold,62,61,67,45,0,0
6200,TheMustache,68,74,58,52,0,0
6200,TheHeleeee,65,71,52,60,0,0
6200,TheBooyash,69,73,55,55,0,0
6200,Mr.Gold,63,62,68,46,0,0
6300,TheMustache,69,75,59,53,0,0
6300,TheHeleeee,66,72,53,61,0,0
6300,TheBooyash,70,74,56,56,0,0
6300,Mr.Gold,64,63,69,47,0,0
6400,TheMustache,70,76,60,54,0,0
6400,TheHeleeee,67,73,54,62,0,0
6400,TheBooyash,71,75,57,56,0,0
6400,Mr.Gold,65,64,70,48,0,0
6500,TheMustache,71,78,61,55,0,0
6500,TheHeleeee,68,74,55,63,0,0
6500,TheBooyash,72,76,58,57,0,0
6500,Mr.Gold,66,65,71,48,0,0
6600,TheMustache,72,79,62,56,0,0
6600,TheHeleeee,69,75,56,64,0,0
6600,TheBooyash,73,77,59,58,0,0
6600,Mr.Gold,67,66,72,49,0,0
6700,TheMustache,73,80,63,56,0,0
6700,TheHeleeee,70,77,56,64,0,0
6700,TheBooyash,75,79,60,59,0,0
6700,Mr.Gold,69,67,73,50,0,0
6800,TheMustache,74,81,64,57,0,0
6800,TheHeleeee,71,78,57,65,0,0
6800,TheBooyash,76,80,61,60,0,0
6800,Mr.Gold,70,68,74,51,0,0
6900,TheMustache,75,82,65,58,0,0
6900,TheHeleeee,72,79,58,66,0,0
6900,TheBooyash,77,81,62,61,0,0
6900,Mr.Gold,71,69,75,51,0,0
7000,TheMustache,77,84,66,59,0,0
7000,TheHeleeee,73,80,59,67,0,0
7000,TheBooyash,78,82,63,62,0,0
7000,Mr.Gold,72,70,77,52,0,0
7100,TheMustache,78,85,67,60,0,0
7100,TheHeleeee,74,81,60,68,0,0
7100,TheBooyash,79,83,63,63,0,0
7100,Mr.Gold,73,71,78,53,0,0
7200,TheMustache,79,86,68,61,0,0
7200,TheHeleeee,75,82,61,69,0,0
7200,TheBooyash,80,84,64,64,0,0
7200,Mr.Gold,74,72,79,54,0,0
7300,TheMustache,80,87,69,62,0,0
7300,TheHeleeee,76,83,62,70,0,0
7300,TheBooyash,81,86,65,64,0,0
7300,Mr.Gold,75,73,80,54,0,0
7400,TheMustache,81,88,70,62,0,0
7400,TheHeleeee,77,85,62,71,0,0
7400,TheBooyash,82,87,66,65,0,0
7400,Mr.Gold,76,74,81,55,0,0
7500,TheMustache,82,90,71,63,0,0
7500,TheHeleeee,78,86,63,72,0,0
7500,TheBooyash,84,88,67,66,0,0
7500,Mr.Gold,77,75,82,56,0,0
7600,TheMustache,83,91,72,64,0,0
7600,TheHeleeee,79,87,64,73,0,0
7600,TheBooyash,85,89,68,67,0,0
7600,Mr.Gold,78,76,83,57,0,0
7700,TheMustache,84,92,73,65,0,0
7700,TheHeleeee,80,88,65,74,0,0
7700,TheBooyash,86,90,69,68,0,0
7700,Mr.Gold,79,77,84,57,0,0
7800,TheMustache,85,93,74,66,0,0
7800,TheHeleeee,81,89,66,75,0,0
7800,TheBooyash,87,92,70,69,0,0
7800,Mr.Gold,80,78,85,58,0,0
7900,TheMustache,86,94,75,67,0,0
7900,TheHeleeee,82,90,67,76,0,0
7900,TheBooyash,88,93,71,70,0,0
7900,Mr.Gold,81,79,86,59,0,0
8000,TheMustache,88,96,76,68,0,0
8000,TheHeleeee,84,92,68,77,0,0
8000,TheBooyash,89,94,72,71,0,0
8000,Mr.Gold,82,80,88,60,0,0
